the tuberculosis morbitity,date
16.07 ,200401
14.24 ,200402
18.03 ,200403
15.55 ,200404
13.64 ,200405
11.77 ,200406
10.88 ,200407
10.42 ,200408
9.11 ,200409
8.54 ,200410
7.31 ,200411
6.46 ,200412
23.24 ,200501
18.33 ,200502
20.74 ,200503
21.83 ,200504
20.33 ,200505
16.43 ,200506
16.13 ,200507
16.10 ,200508
13.21 ,200509
13.04 ,200510
15.41 ,200511
11.62 ,200512
24.95 ,200601
21.62 ,200602
22.11 ,200603
21.04 ,200604
19.08 ,200605
18.22 ,200606
13.72 ,200607
12.47 ,200608
11.58 ,200609
10.69 ,200610
9.41 ,200611
7.71 ,200612
27.47 ,200701
20.42 ,200702
20.98 ,200703
18.83 ,200704
18.28 ,200705
16.88 ,200706
15.27 ,200707
14.28 ,200708
13.26 ,200709
13.20 ,200710
12.99 ,200711
8.13 ,200712
25.48 ,200801
21.19 ,200802
22.65 ,200803
20.86 ,200804
19.57 ,200805
16.50 ,200806
16.18 ,200807
14.14 ,200808
12.54 ,200809
12.41 ,200810
11.71 ,200811
9.68 ,200812
22.37 ,200901
19.65 ,200902
19.76 ,200903
19.24 ,200904
16.34 ,200905
14.22 ,200906
13.54 ,200907
12.32 ,200908
10.25 ,200909
11.78 ,200910
11.89 ,200911
15.00 ,200912
18.39 ,201001
16.31 ,201002
18.29 ,201003
16.87 ,201004
14.16 ,201005
12.71 ,201006
12.17 ,201007
10.67 ,201008
8.96 ,201009
10.93 ,201010
10.37 ,201011
14.62 ,201012
24.3,201101
21.23,201102
26.85,201103
26.06,201104
24.64,201105
18.95,201106
18.17,201107
17.88,201108
13.85,201109
13.54,201110
14.62,201111
16.82,201112
16.99,201201
25.44,201202
27.91,201203
22.44,201204
25.19,201205
19.08,201206
18.69,201207
17.92,201208
20.71,201209
13.74,201210
29.01,201211
27.53,201212
26.4,201301
22.83,201302
26.37,201303
24,201304
25.86,201305
18.72,201306
21.45,201307
18.99,201308
20.59,201309
16,201310
20.16,201311
18.19,201312
22.87,201401
21.26,201402
23.69,201403
24.52,201404
22.69,201405
19.11,201406